id;start_date;end_date;language
1;2019-09-02T06:20:37;2019-09-01T23:28:54;SPANISH
2;2019-09-02T07:50:43;2019-09-01T16:56:53;FRENCH
3;2019-09-02T03:22:47;2019-09-01T18:46:47;ENGLISH
4;2019-09-01T16:34:38;2019-09-02T00:01:40;FRENCH
5;2019-09-02T01:33:17;2019-09-02T06:17:26;SPANISH
6;2019-09-02T07:50:18;2019-09-02T09:07:14;SPANISH
7;2019-09-01T17:12:38;2019-09-02T05:53:25;SPANISH
8;2019-09-01T14:43:57;2019-09-01T22:44:06;SPANISH
9;2019-09-02T00:32:03;2019-09-02T08:56:41;ENGLISH
10;2019-09-02T03:50:12;2019-09-02T01:06:27;SPANISH
